market,markTwap,indexTwap,evt_block_time
ETHUSD,2975.2998,2974.1700,2022-03-01T15:33:02+00:00
SOLUSD,98.7479,98.6400,2022-03-01T15:32:47+00:00
SOLUSD,98.7578,98.6400,2022-03-01T15:32:17+00:00
SOLUSD,98.7874,98.6400,2022-03-01T15:29:25+00:00
SOLUSD,98.7874,98.6400,2022-03-01T15:28:36+00:00
ETHUSD,2974.7049,2974.1025,2022-03-01T15:28:21+00:00
SOLUSD,98.7677,98.6400,2022-03-01T15:27:45+00:00
SOLUSD,98.6788,98.6400,2022-03-01T15:24:29+00:00
SOLUSD,98.6591,98.6400,2022-03-01T15:23:59+00:00
ETHUSD,2972.9207,2973.9428,2022-03-01T15:23:14+00:00
SOLUSD,98.6591,98.6400,2022-03-01T15:23:14+00:00
SOLUSD,98.6591,98.6400,2022-03-01T15:22:59+00:00
ETHUSD,2972.9207,2973.8914,2022-03-01T15:22:59+00:00
SOLUSD,98.6492,98.6400,2022-03-01T15:22:43+00:00
SOLUSD,98.6295,98.6400,2022-03-01T15:22:27+00:00
SOLUSD,98.6196,98.6400,2022-03-01T15:22:09+00:00
SOLUSD,98.5802,98.6400,2022-03-01T15:20:26+00:00
SOLUSD,98.5703,98.6400,2022-03-01T15:20:10+00:00
SOLUSD,98.5605,98.6400,2022-03-01T15:19:36+00:00
SOLUSD,98.5408,98.6400,2022-03-01T15:18:49+00:00
SOLUSD,98.5211,98.6400,2022-03-01T15:18:30+00:00
ETHUSD,2969.9494,2970.8834,2022-03-01T15:18:15+00:00
SOLUSD,98.5014,98.6400,2022-03-01T15:18:15+00:00
SOLUSD,98.4817,98.6400,2022-03-01T15:18:00+00:00
ETHUSD,2969.6524,2970.6793,2022-03-01T15:18:00+00:00
ETHUSD,2969.3555,2970.5102,2022-03-01T15:16:53+00:00
SOLUSD,98.4226,98.6400,2022-03-01T15:16:53+00:00
ETHUSD,2969.3555,2970.6955,2022-03-01T15:16:38+00:00
SOLUSD,98.4128,98.6400,2022-03-01T15:16:38+00:00
SOLUSD,98.3931,98.6400,2022-03-01T15:16:15+00:00
ETHUSD,2969.6524,2971.4914,2022-03-01T15:15:59+00:00
ETHUSD,2969.9494,2971.8286,2022-03-01T15:15:43+00:00
ETHUSD,2970.2464,2972.1727,2022-03-01T15:15:23+00:00
SOLUSD,98.3734,98.6400,2022-03-01T15:15:05+00:00
ETHUSD,2970.5434,2972.5187,2022-03-01T15:15:05+00:00
ETHUSD,2971.1375,2973.0121,2022-03-01T15:14:32+00:00
SOLUSD,98.3734,98.6400,2022-03-01T15:14:32+00:00
ETHUSD,2973.8126,2975.0512,2022-03-01T15:12:18+00:00
ETHUSD,2974.1100,2975.1685,2022-03-01T15:12:03+00:00
SOLUSD,98.3931,98.6400,2022-03-01T15:11:29+00:00
SOLUSD,98.3931,98.6400,2022-03-01T15:10:57+00:00
ETHUSD,2974.7049,2975.6523,2022-03-01T15:10:42+00:00
ETHUSD,2974.7049,2975.5873,2022-03-01T15:10:12+00:00
SOLUSD,98.3734,98.6524,2022-03-01T15:09:02+00:00
SOLUSD,98.3439,98.6977,2022-03-01T15:07:56+00:00
SOLUSD,98.3242,98.7301,2022-03-01T15:07:09+00:00
SOLUSD,98.3144,98.7431,2022-03-01T15:06:50+00:00
SOLUSD,98.3144,98.7534,2022-03-01T15:06:35+00:00
ETHUSD,2975.5974,2976.2455,2022-03-01T15:06:20+00:00
SOLUSD,98.3144,98.7834,2022-03-01T15:06:05+00:00
ETHUSD,2975.8949,2976.5692,2022-03-01T15:06:05+00:00
SOLUSD,98.3144,98.8053,2022-03-01T15:05:50+00:00
ETHUSD,2976.4901,2977.2597,2022-03-01T15:05:33+00:00
SOLUSD,98.3242,98.8302,2022-03-01T15:05:33+00:00
SOLUSD,98.3636,98.9019,2022-03-01T15:04:44+00:00
SOLUSD,98.3832,98.9503,2022-03-01T15:04:11+00:00
ETHUSD,2978.8722,2979.6622,2022-03-01T15:03:54+00:00
SOLUSD,98.4029,98.9751,2022-03-01T15:03:54+00:00
SOLUSD,98.4128,98.9971,2022-03-01T15:03:39+00:00
